Khoa Công Nghệ Thông Tin - HCMUS - VNU,,,,,,
Bộ Môn Hệ Thống Thông Tin,,,,,,
Môn Tương Tác Người và Máy (CSC12106),,,,,,
,,,,,,
Thang điểm cuối kỳ,,,,,,
,,,,,,
,,,,,,
No.,Deliverables,%,0.25,0.5,0.75,1
1,Persona,10,"Thiếu 3-4 mục, không có hình đại diện, trình bày xấu ","Thiếu 1-2 mục, thiếu hình vẽ đại diện","Có đầy đủ 9 mục, có hình đại diện, trình bày không rõ ràng","Đầy đủ 9 phần, mô tả chi tiết, có hình vẽ đại diện, rõ ràng, chữ đẹp "
2,Value Proposition,10,"Không trình bày đầy đủ các phần, các items không có tương ứng giữa persona và giá trị đề xuất","Trình bày thiếu 1-2 phần, các mục không tương ứng đầy đủ giữa persona và giá trị đề xuất","Có đầy đủ các phần, nhưng các mục của từng phần thì không tương ứng giữa persona và giá trị đề xuất, trình bày xấu","Có đầy đủ mô tả cho tất cả các phần trong giá trị đề xuất, các mục phải tương ứng giữa persona và giá trị đề xuất"
3,Scenario 1,5,"Không hiểu được hệ thống cũ làm gì, trình bày xấu, không đọc được chữ","Chỉ mô tả một vài bước của hệ thống cũ, không thấy được vấn đề của hệ thống cũ, trình bày tạm được, đọc được chữ ","Khó hiểu được tình huống của hệ thống cũ, trình bày rõ ràng và đẹp","Thấy được khó khăn của hệ thống cũ, chữ viết đẹp, trình bày rõ ràng"
4,Scenario 2 - mới,5,"Không thấy tương tác mới, trình bày xấu, chữ không đọc được","Chỉ mô tả một vài bước trong hệ thống mới, thấy được 1-2 tương tác mới, trình bày tạm được, đọc được chữ ","Không thấy rõ ràng tương tác mới, trình bày tạm được","Thấy được cái mới, hiểu được các bước tương tác mới của hệ thống mới, chữ viết rõ ràng, trình bày dễ đọc"
5,Storyboard,10,"Không kể được câu chuyện gì, hình ảnh không minh hoạ cho câu chuyện","Câu chuyện không hay, có ít hình minh hoạ","Câu chuyện hay, vẽ và dán hình đơn giản, có chú thích","Câu chuyện hay, hấp dẫn, vẽ và dán nhiều hình đẹp có liên quan tới câu chuyện, có chú thích "
6,Protptype,10,"Làm 1 thành phần của hệ thống, không thấy được tương tác mới ","Làm thiếu 1-2 thành phần của hệ thống, chưa thấy rõ tương tác mới","Đầy đủ các thành phần trong hệ thống, không vững chắc, kg thấy rõ tương tác","Đầy đủ các thành phần của hệ thống, minh họa được tương tác mới, vững chắc "
7,Wireframe,10,"Quá đơn giản, không có màu, vẽ bằng tay","Không chi tiết, không giống giao diện thật, màu sắc không đẹp","Giống giao diện thật, màu sắc chưa hài hòa, dùng tool, không tiện dụng","Giống giao diện thật, chi tiết, màu sắc hài hòa, có sử dụng tools để vẽ, tiện dụng, đẹp"
8,Software product,10,"Cài đặt sơ sài 1-2 giao diện, không có tính năng tương tác mới, không cải thiện được tính năng tương tác nào của phần mềm",Cài đặt được một phần ba (30%) quy trình nghiệp vụ có tính năng tương tác mới/cải tiến của phần mềm ,Cài đặt được một nửa (50%) quy trình nghiệp vụ có tính năng tương tác mới/cải tiến của phần mềm ,Cài đặt trọn vẹn (100%) quy trình nghiệp vụ có tính năng tương tác mới/cải tiến của phần mềm 
9,Trình bày,10,"Khó hiểu, không nắm rõ đồ án, không trả lời được câu hỏi, chỉ có 1 thành viên trình bày và trả lời","Tạm chấp nhận, trả lời được 1-2 câu hỏi, chỉ có 1-2 thành viên trình bày/trả lời","Lưu loát, trả lời được vài câu hỏi, thiếu 1-2 thành viên tham gia trình bày/trả lời","Lưu loát, trả lời được hết tất cả các câu hỏi tại sao, các thành viên đều tham gia trình bày/trả lời"
10,Báo cáo,10,"Báo cáo giấy nghèo nàn, dưới 6 trang, không theo format","Báo cáo thiếu hơn một nửa yêu cầu so với qui định, format không đồng nhất","Format đúng qui định, thiếu 1 hoặc 2 yêu cầu","Trình bày format, title, nội dung đầy đủ như qui định"
11,Team work,10,"Không có phân chia công việc, đồ án tập trung 1 hay 2 sinh viên làm","Phân chia công việc không rõ ràng, chỉ có 1 vài thành viên thực hiện đồ án","Phân chia công việc tương đối rõ ràng, mọi thành viên chưa được ngang bằng nhau","Phân chia công việc rõ ràng, cân bằng, mọi thành viên đều ngang bằng nhau"
,Tổng điểm ,100,,,,
